Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Explore Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/modules/examine-dynamics-365-customer-service/,6,"1,399","8,535",63.24%,"1,224",774,794,1,419.6022222,17.99580653,21,4.595238095,42,,,dynamics-customer-service,business-owner;business-user;functional-consultant;student,beginner
Branch code execution with the if and else statements in Python,https://docs.microsoft.com/en-us/learn/modules/python-if-elif-else/,7,"1,894","11,674",53.77%,"1,434",771,845,2,610.56,19.34192186,27,4.790123457,81,,,vs,developer;student,beginner
Build your first Power Automate Desktop flow,https://docs.microsoft.com/en-us/learn/modules/build-first-desktop-flow/,8,"5,354","23,264",24.94%,"3,067",765,718,2,737.0316667,8.259600299,14,4.75,52,,,power-platform;power-automate,maker,beginner
Review additional marketing apps,https://docs.microsoft.com/en-us/learn/modules/review-additional-marketing-apps/,7,"1,168","8,876",72.72%,"1,052",765,802,,378.7988889,19.45884703,31,4.728813559,59,,,dynamics-cust-insights;dynamics-marketing,business-owner;business-user;functional-consultant;student,beginner
Prepare to develop AI solutions on Azure,https://docs.microsoft.com/en-us/learn/modules/prepare-to-develop-ai-solutions-azure/,11,"2,122","19,268",37.34%,"2,038",761,780,1,767.3058333,21.69573516,31,4.73,100,,,azure,ai-engineer;developer,intermediate
Prepare to bring the basketball court into a Mixed Reality space,https://docs.microsoft.com/en-us/learn/modules/mixed-reality-for-sports-fans/,7,879,"7,506",93.32%,808,754,870,9,50.97833333,3.479749716,20,4.866666667,45,,,vs-code,developer;student,beginner
Create a build pipeline with Azure Pipelines,https://docs.microsoft.com/en-us/learn/modules/create-a-build-pipeline/,10,"4,853","30,254",20.08%,"3,740",751,757,5,2132.604444,26.36642627,80,4.855072464,69,,,azure-devops,devops-engineer;administrator;developer;solution-architect,beginner
Create a mixed reality basketball player lineup with the Mixed Reality Toolkit,https://docs.microsoft.com/en-us/learn/modules/use-mixed-reality-toolkit/,11,"1,034","11,853",86.01%,872,750,874,1,83.59555556,4.850805932,84,4.863013699,73,,,vs,developer;student,beginner;intermediate
Explore Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/examine-dynamics-365-project-operations/,7,"1,245","8,830",68.06%,"1,102",750,777,,408.2622222,19.67528782,30,4.875,24,,,dynamics-365;dynamics-project-operations,business-owner;business-user;functional-consultant;student,beginner
Introduction to WebXR with Babylon.js,https://docs.microsoft.com/en-us/learn/modules/build-mixed-reality-with-babylonjs/,11,956,"11,503",88.53%,846,749,878,5,67.83388889,4.257357043,33,4.813953488,43,,,vs-code;windows-mixed-reality,developer;student,beginner
Troubleshoot inbound network connectivity for Azure Load Balancer,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-inbound-connectivity-azure-load-balancer/,6,"1,137","7,102",80.58%,927,747,844,10,242.3291667,12.78781882,98,4.75,36,,,azure;azure-monitor;azure-load-balancer,administrator,beginner
Execute existing SSIS packages in Azure Data Factory,https://docs.microsoft.com/en-us/learn/modules/execute-existing-ssis-packages-azure-data-factory/,8,"1,344","10,305",69.08%,"1,077",744,807,2,378.5425,16.89921875,24,4.857142857,28,,,azure-data-factory;azure-synapse-analytics,data-engineer,intermediate
Design a Modern Data Warehouse using Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/modules/design-modern-data-warehouse-using-azure-synapse-analytics/,11,"2,208","19,933",39.44%,"1,884",743,783,4,1038.545278,28.22133907,62,4.909090909,22,,,azure-synapse-analytics,data-engineer,beginner
Explore Azure Synapse Studio,https://docs.microsoft.com/en-us/learn/modules/explore-azure-synapse-studio/,10,"1,446","13,484",63.36%,"1,168",740,801,2,447.8502778,18.58299908,43,4.65,20,,,azure-synapse-analytics,data-engineer,beginner
Make your application storage highly available with read-access geo-redundant storage,https://docs.microsoft.com/en-us/learn/modules/ha-application-storage-with-grs/,6,"1,201","7,923",72.66%,"1,017",739,801,1,446.5086111,22.30684152,34,4.65,40,421,370,azure,solution-architect,beginner
Get started with Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-supply-chain-management-dyn365-supply-chain-mgmt/,19,"2,841","31,906",33.02%,"2,235",738,629,2,1271.338611,26.84981227,108,4.826086957,46,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,beginner
Get started with AI Builder,https://docs.microsoft.com/en-us/learn/modules/get-started-with-ai-builder/,6,"2,844","13,513",33.72%,"2,183",736,672,1,434.5305556,9.167311299,30,4.685714286,35,,,ai-builder;power-platform;power-automate,business-user;maker,beginner
Explore Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/explore-teams/,11,"2,545","20,564",30.53%,"2,388",729,725,9,1309.9325,30.88249509,49,4.853658537,82,,,m365;office-teams,administrator,intermediate
"Manage meetings, conferences, and events with Microsoft Teams",https://docs.microsoft.com/en-us/learn/modules/m365-teams-collab-manage-meetings/,9,"1,772","12,338",56.27%,"1,292",727,719,2,300.7097222,10.18204477,22,4.765625,64,,,m365;office-365;office-teams,administrator,beginner
Sort and filter results in T-SQL,https://docs.microsoft.com/en-us/learn/modules/sort-filter-queries/,9,"1,688","14,167",56.36%,"1,281",722,786,9,490.2788889,17.42697472,57,4.84,100,,,sql-server;azure-sql-managed-instance;azure-sqlserver-vm;azure-sql-virtual-machines,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student;technology-manager,beginner
Configure security policies to manage data,https://docs.microsoft.com/en-us/learn/modules/configure-security-policies-to-manage-data/,6,"1,372","8,025",71.53%,"1,008",721,798,1,471.5261111,20.62067541,39,4.833333333,24,414,397,azure,security-engineer,beginner
Create formulas to change properties in a Power Apps canvas app,https://docs.microsoft.com/en-us/learn/modules/author-basic-formula-change-properties-powerapps/,8,"5,918","26,631",17.96%,"3,997",718,527,2,928.2997222,9.411622733,42,4.761904762,42,,,power-platform;power-apps,business-user;maker;functional-consultant,intermediate
"Deploy, upgrade, and migrate to Windows 10",https://docs.microsoft.com/en-us/learn/modules/m365-modern-os-deployment/,5,"1,264","7,131",71.73%,"1,001",718,795,4,262.8588889,12.4774789,20,4.7,30,,,m365;windows,administrator,intermediate
Analyze your directory and network readiness for Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/m365-directory-network-readiness/,4,"1,281","6,533",68.34%,"1,033",706,795,4,259.9969444,12.17784283,23,4.810810811,37,,,m365;windows,administrator,intermediate
Review additional sales apps,https://docs.microsoft.com/en-us/learn/modules/review-additional-sales-apps/,6,"1,097","7,495",72.98%,966,705,745,3,308.2105556,16.85745974,33,4.79245283,53,,,dynamics-sales;dynamics-sales-insights,business-owner;business-user;functional-consultant;student,beginner
Train and evaluate classification models,https://docs.microsoft.com/en-us/learn/modules/train-evaluate-classification-models/,9,"1,393","10,816",60.41%,"1,167",705,725,2,726.1575,31.27742283,47,4.791666667,48,755,551,vs-code,data-scientist,intermediate
Describe lazy evaluation and other performance features in Azure Databricks,https://docs.microsoft.com/en-us/learn/modules/describe-lazy-evaluation-performance-features-azure-databricks/,7,"1,160","9,124",67.28%,"1,039",699,782,3,315.8052778,16.33475575,33,4.68,25,,,azure-databricks,data-engineer,intermediate
Interactively debug .NET apps with the Visual Studio Code debugger,https://docs.microsoft.com/en-us/learn/modules/dotnet-debug/,8,"1,613","12,638",53.94%,"1,296",699,810,7,823.0261111,30.61473445,43,4.58490566,53,,,dotnet,developer;student,beginner
Introduction to the Azure Machine Learning SDK,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-machine-learning-service/,8,"2,469","18,231",32.75%,"2,128",697,685,2,945.6813889,22.98132172,60,4.648648649,37,,,azure;azure-machine-learning,data-scientist;student,beginner
Build and query a Delta Lake,https://docs.microsoft.com/en-us/learn/modules/build-query-delta-lake/,7,"1,310","10,137",61.43%,"1,133",696,776,,454.0780556,20.79746819,43,4.56,25,,,azure-databricks,data-engineer,intermediate
Operationalize your Azure Data Factory or Azure Synapse Pipeline,https://docs.microsoft.com/en-us/learn/modules/operationalize-azure-data-factory-pipelines/,9,"1,253","10,746",67.61%,"1,025",693,743,1,559.7297222,26.80270019,47,4.764705882,17,,,azure-data-factory;azure-synapse-analytics,data-engineer;data-scientist,intermediate
Introduction to Azure Data Lake storage,https://docs.microsoft.com/en-us/learn/modules/introduction-to-azure-data-lake-storage/,7,"1,894","11,352",46.60%,"1,472",686,624,3,565.9516667,17.92877508,30,4.92,25,,,azure,data-engineer,beginner
Describe Dynamics 365 Customer Service components,https://docs.microsoft.com/en-us/learn/modules/describe-dynamics-365-customer-service-components/,9,"1,110","10,266",71.76%,949,681,704,3,471.5138889,25.48723724,41,4.59375,32,,,dynamics-customer-service,business-owner;business-user;functional-consultant;student,beginner
Create a Content Delivery Network for your Website with Azure CDN and Blob Services,https://docs.microsoft.com/en-us/learn/modules/create-cdn-static-resources-blob-storage/,8,"1,398","9,210",69.82%,974,680,733,6,162.3480556,6.967727706,63,4.820512821,39,259,199,azure;azure-cdn,administrator;developer,beginner
